repetition,grid_width,pop_size,ms_step_mean
0,64,4096,4.1e-05
0,128,16384,3.7e-05
0,192,36864,4.1e-05
0,256,65536,4.5e-05
0,320,102400,5.1e-05
0,384,147456,6.1e-05
0,448,200704,6.7e-05
0,512,262144,7.4e-05
0,576,331776,8.3e-05
0,640,409600,9.3e-05
0,704,495616,0.000108
0,768,589824,0.000118
0,832,692224,0.000132
0,896,802816,0.000147
0,960,921600,0.000162
0,1024,1048576,0.000173
0,1088,1183744,0.000188
0,1152,1327104,0.000209
0,1216,1478656,0.000226
0,1280,1638400,0.00023
0,1344,1806336,0.00026
0,1408,1982464,0.00028
0,1472,2166784,0.000301
0,1536,2359296,0.000321
0,1600,2560000,0.000329
0,1664,2768896,0.000359
0,1728,2985984,0.000361
0,1792,3211264,0.000382
0,1856,3444736,0.000421
0,1920,3686400,0.000435
0,1984,3936256,0.000461
0,2048,4194304,0.000501
1,64,4096,3e-05
1,128,16384,3.3e-05
1,192,36864,3.9e-05
1,256,65536,4.3e-05
1,320,102400,5e-05
1,384,147456,5.7e-05
1,448,200704,6.5e-05
1,512,262144,7.5e-05
1,576,331776,8.2e-05
1,640,409600,9.2e-05
1,704,495616,0.000106
1,768,589824,0.000119
1,832,692224,0.00013
1,896,802816,0.000147
1,960,921600,0.000161
1,1024,1048576,0.000171
1,1088,1183744,0.000191
1,1152,1327104,0.000201
1,1216,1478656,0.000224
1,1280,1638400,0.000232
1,1344,1806336,0.00026
1,1408,1982464,0.000288
1,1472,2166784,0.000296
1,1536,2359296,0.000325
1,1600,2560000,0.000338
1,1664,2768896,0.000356
1,1728,2985984,0.000384
1,1792,3211264,0.000395
1,1856,3444736,0.000406
1,1920,3686400,0.000462
1,1984,3936256,0.000493
1,2048,4194304,0.000491
2,64,4096,3e-05
2,128,16384,3.2e-05
2,192,36864,4.2e-05
2,256,65536,3.8e-05
2,320,102400,4.7e-05
2,384,147456,6.2e-05
2,448,200704,6.2e-05
2,512,262144,7.5e-05
2,576,331776,8.4e-05
2,640,409600,9e-05
2,704,495616,0.000107
2,768,589824,0.000119
2,832,692224,0.000132
2,896,802816,0.000147
2,960,921600,0.000161
2,1024,1048576,0.00018
2,1088,1183744,0.000189
2,1152,1327104,0.000213
2,1216,1478656,0.000227
2,1280,1638400,0.000259
2,1344,1806336,0.000274
2,1408,1982464,0.000289
2,1472,2166784,0.000291
2,1536,2359296,0.000296
2,1600,2560000,0.000323
2,1664,2768896,0.000352
2,1728,2985984,0.000387
2,1792,3211264,0.000386
2,1856,3444736,0.000431
2,1920,3686400,0.000454
2,1984,3936256,0.000463
2,2048,4194304,0.000505
3,64,4096,3e-05
