repetition,grid_width,pop_size,p_occupation,s_step_mean,pop_count_mean
0,512,262144,0.02,0.000559913,4037.28
0,512,262144,0.04,0.00055849,7623.42
0,512,262144,0.08,0.000569938,14058.2
0,512,262144,0.16,0.000574065,24012.4
0,512,262144,0.32,0.000589711,38039.6
0,512,262144,0.64,0.000597893,55166.9
1,512,262144,0.02,0.00061398,3988.78
1,512,262144,0.04,0.000560251,7559.31
1,512,262144,0.08,0.000567747,13876.3
1,512,262144,0.16,0.000573338,23938.2
1,512,262144,0.32,0.000589937,37492.2
1,512,262144,0.64,0.000601385,54194.7
2,512,262144,0.02,0.000555633,4007.02
2,512,262144,0.04,0.000557476,7689.47
2,512,262144,0.08,0.000567552,13878.3
2,512,262144,0.16,0.000587889,24091.9
2,512,262144,0.32,0.000594442,38363.6
2,512,262144,0.64,0.000602214,55600
