repetition,grid_width,pop_size,p_occupation,step,s_step,pop_count
0,512,262144,0.02,0,0.00415642,5210
0,512,262144,0.02,1,0.000530432,4203
0,512,262144,0.02,2,0.00052736,4187
0,512,262144,0.02,3,0.000523264,4172
0,512,262144,0.02,4,0.000525312,4182
0,512,262144,0.02,5,0.000523264,4181
0,512,262144,0.02,6,0.000515072,4176
0,512,262144,0.02,7,0.000523264,4179
0,512,262144,0.02,8,0.000526336,4185
0,512,262144,0.02,9,0.000526336,4176
0,512,262144,0.02,10,0.000521216,4179
0,512,262144,0.02,11,0.00051712,4166
0,512,262144,0.02,12,0.000521216,4151
0,512,262144,0.02,13,0.000521216,4159
0,512,262144,0.02,14,0.000518144,4157
0,512,262144,0.02,15,0.000518144,4157
0,512,262144,0.02,16,0.000518144,4153
0,512,262144,0.02,17,0.000518144,4139
0,512,262144,0.02,18,0.000510976,4148
0,512,262144,0.02,19,0.000520192,4120
0,512,262144,0.02,20,0.000521216,4122
0,512,262144,0.02,21,0.000515072,4113
0,512,262144,0.02,22,0.000521216,4111
0,512,262144,0.02,23,0.00052224,4111
0,512,262144,0.02,24,0.000524288,4092
0,512,262144,0.02,25,0.000514048,4124
0,512,262144,0.02,26,0.000518144,4109
0,512,262144,0.02,27,0.000518144,4106
0,512,262144,0.02,28,0.00052224,4092
0,512,262144,0.02,29,0.00051712,4105
0,512,262144,0.02,30,0.000520192,4095
0,512,262144,0.02,31,0.00051712,4062
0,512,262144,0.02,32,0.000526336,4066
0,512,262144,0.02,33,0.000518144,4079
0,512,262144,0.02,34,0.000524288,4079
0,512,262144,0.02,35,0.00052224,4060
0,512,262144,0.02,36,0.000514048,4062
0,512,262144,0.02,37,0.000518144,4033
0,512,262144,0.02,38,0.000516096,4058
0,512,262144,0.02,39,0.000514048,4065
0,512,262144,0.02,40,0.000521216,4034
0,512,262144,0.02,41,0.000521216,4033
0,512,262144,0.02,42,0.000512,3999
0,512,262144,0.02,43,0.000523264,4020
0,512,262144,0.02,44,0.000519168,4039
0,512,262144,0.02,45,0.000516096,3987
0,512,262144,0.02,46,0.000521216,4046
0,512,262144,0.02,47,0.000520192,4001
0,512,262144,0.02,48,0.000625664,4040
0,512,262144,0.02,49,0.000520192,3992
0,512,262144,0.02,50,0.000521216,3956
0,512,262144,0.02,51,0.000528384,3967
0,512,262144,0.02,52,0.000528384,3976
0,512,262144,0.02,53,0.000521216,3979
0,512,262144,0.02,54,0.000524288,3978
0,512,262144,0.02,55,0.00051712,4006
0,512,262144,0.02,56,0.000523264,3983
0,512,262144,0.02,57,0.000518144,3988
0,512,262144,0.02,58,0.000528384,3968
0,512,262144,0.02,59,0.000518144,3968
0,512,262144,0.02,60,0.000524288,3982
0,512,262144,0.02,61,0.000519168,3952
0,512,262144,0.02,62,0.000521216,3964
0,512,262144,0.02,63,0.000524288,3982
0,512,262144,0.02,64,0.000520192,3948
0,512,262144,0.02,65,0.000520192,3931
0,512,262144,0.02,66,0.00051712,3961
0,512,262144,0.02,67,0.00052224,3958
0,512,262144,0.02,68,0.000534528,3963
0,512,262144,0.02,69,0.000520192,3944
0,512,262144,0.02,70,0.000520192,3940
0,512,262144,0.02,71,0.000515072,3938
0,512,262144,0.02,72,0.000520192,3954
0,512,262144,0.02,73,0.000515072,3931
0,512,262144,0.02,74,0.00052224,3953
0,512,262144,0.02,75,0.000518144,3931
0,512,262144,0.02,76,0.000521216,3961
0,512,262144,0.02,77,0.000518144,3943
0,512,262144,0.02,78,0.000525312,3966
0,512,262144,0.02,79,0.000520192,3953
0,512,262144,0.02,80,0.00052224,3939
0,512,262144,0.02,81,0.000526336,3938
0,512,262144,0.02,82,0.000526336,3937
0,512,262144,0.02,83,0.00052736,3934
0,512,262144,0.02,84,0.000524288,3951
0,512,262144,0.02,85,0.000523264,3944
0,512,262144,0.02,86,0.00052224,3959
0,512,262144,0.02,87,0.000684032,3931
0,512,262144,0.02,88,0.000534528,3935
0,512,262144,0.02,89,0.00053248,3929
0,512,262144,0.02,90,0.000516096,3946
0,512,262144,0.02,91,0.00052736,3927
0,512,262144,0.02,92,0.000520192,3946
0,512,262144,0.02,93,0.000520192,3899
0,512,262144,0.02,94,0.000519168,3920
0,512,262144,0.02,95,0.000515072,3908
0,512,262144,0.02,96,0.000514048,3934
