repetition,grid_width,pop_size,p_occupation,s_step_mean,pop_count_mean
0,256,65536,0.17,0.000353587,6163.38
0,512,262144,0.17,0.000627128,25053
0,768,589824,0.17,0.00107418,57059.5
0,1024,1048576,0.17,0.00163838,101647
0,1280,1638400,0.17,0.0025627,158974
0,1536,2359296,0.17,0.00353412,230821
0,1792,3211264,0.17,0.00461251,314439
0,2048,4194304,0.17,0.00577264,409397
0,2304,5308416,0.17,0.00722859,518983
0,2560,6553600,0.17,0.00881413,640389
0,2816,7929856,0.17,0.0109604,774797
0,3072,9437184,0.17,0.0125828,922047
0,3328,11075584,0.17,0.01479,1.0827e+06
0,3584,12845056,0.17,0.0172403,1.25554e+06
0,3840,14745600,0.17,0.019808,1.44233e+06
0,4096,16777216,0.17,0.0228088,1.64176e+06
1,256,65536,0.17,0.00030806,6281.04
1,512,262144,0.17,0.000575252,25041
1,768,589824,0.17,0.000983183,57293.5
1,1024,1048576,0.17,0.00180976,101603
1,1280,1638400,0.17,0.00257607,160113
1,1536,2359296,0.17,0.0034302,231038
1,1792,3211264,0.17,0.00458255,314920
1,2048,4194304,0.17,0.00569089,410782
1,2304,5308416,0.17,0.00731056,520682
1,2560,6553600,0.17,0.00880624,641309
1,2816,7929856,0.17,0.0108704,776285
1,3072,9437184,0.17,0.0124641,925173
1,3328,11075584,0.17,0.0147587,1.08618e+06
1,3584,12845056,0.17,0.0172437,1.25822e+06
1,3840,14745600,0.17,0.0198129,1.44527e+06
1,4096,16777216,0.17,0.0228454,1.6458e+06
2,256,65536,0.17,0.000308838,6419.05
2,512,262144,0.17,0.0005726,25227.9
2,768,589824,0.17,0.00107179,57091.9
2,1024,1048576,0.17,0.00164299,102171
2,1280,1638400,0.17,0.00253836,159003
2,1536,2359296,0.17,0.00342457,229744
2,1792,3211264,0.17,0.00457243,314665
2,2048,4194304,0.17,0.00562228,410686
2,2304,5308416,0.17,0.00730785,520008
2,2560,6553600,0.17,0.00887295,643338
2,2816,7929856,0.17,0.0109131,778979
2,3072,9437184,0.17,0.012455,927141
2,3328,11075584,0.17,0.014841,1.08403e+06
2,3584,12845056,0.17,0.0171586,1.25675e+06
2,3840,14745600,0.17,0.0197999,1.44396e+06
2,4096,16777216,0.17,0.0229174,1.64435e+06
