repetition,grid_width,pop_size,p_occupation,step,s_step,pop_count
0,256,65536,0.17,0,0.00378675,11264
0,256,65536,0.17,1,0.000908288,8806
0,256,65536,0.17,2,0.000867328,8791
0,256,65536,0.17,3,0.000311296,7172
0,256,65536,0.17,4,0.000308224,7097
0,256,65536,0.17,5,0.000309248,7074
0,256,65536,0.17,6,0.000310272,7025
0,256,65536,0.17,7,0.000313344,6965
0,256,65536,0.17,8,0.000309248,6906
0,256,65536,0.17,9,0.000308224,6857
0,256,65536,0.17,10,0.000308224,6816
0,256,65536,0.17,11,0.00031744,6701
0,256,65536,0.17,12,0.000309248,6693
0,256,65536,0.17,13,0.0003072,6717
0,256,65536,0.17,14,0.000310272,6659
0,256,65536,0.17,15,0.000306176,6597
0,256,65536,0.17,16,0.0003072,6500
0,256,65536,0.17,17,0.000308224,6519
0,256,65536,0.17,18,0.000309248,6456
0,256,65536,0.17,19,0.0003072,6440
0,256,65536,0.17,20,0.000306176,6374
0,256,65536,0.17,21,0.000308224,6404
0,256,65536,0.17,22,0.0003072,6298
0,256,65536,0.17,23,0.0003072,6275
0,256,65536,0.17,24,0.0003072,6231
0,256,65536,0.17,25,0.0003072,6254
0,256,65536,0.17,26,0.00031232,6233
0,256,65536,0.17,27,0.0003072,6235
0,256,65536,0.17,28,0.0003072,6185
0,256,65536,0.17,29,0.000314368,6175
0,256,65536,0.17,30,0.0003072,6177
0,256,65536,0.17,31,0.0003072,6154
0,256,65536,0.17,32,0.000309248,6084
0,256,65536,0.17,33,0.000306176,6101
0,256,65536,0.17,34,0.0003072,6043
0,256,65536,0.17,35,0.00031232,6023
0,256,65536,0.17,36,0.000308224,6062
0,256,65536,0.17,37,0.0003072,6024
0,256,65536,0.17,38,0.0003072,6004
0,256,65536,0.17,39,0.000309248,5949
0,256,65536,0.17,40,0.000306176,5968
0,256,65536,0.17,41,0.000306176,5964
0,256,65536,0.17,42,0.000310272,5937
0,256,65536,0.17,43,0.0003072,5921
0,256,65536,0.17,44,0.000306176,5985
0,256,65536,0.17,45,0.000308224,5893
0,256,65536,0.17,46,0.000308224,5940
0,256,65536,0.17,47,0.0003072,5886
0,256,65536,0.17,48,0.000308224,5914
0,256,65536,0.17,49,0.000308224,5935
0,256,65536,0.17,50,0.000311296,5910
0,256,65536,0.17,51,0.000308224,5883
0,256,65536,0.17,52,0.000308224,5864
0,256,65536,0.17,53,0.000309248,5887
0,256,65536,0.17,54,0.0003072,5953
0,256,65536,0.17,55,0.000306176,5852
0,256,65536,0.17,56,0.000304128,5841
0,256,65536,0.17,57,0.000304128,5834
0,256,65536,0.17,58,0.000305152,5873
0,256,65536,0.17,59,0.000303104,5853
0,256,65536,0.17,60,0.000310272,5854
0,256,65536,0.17,61,0.000305152,5855
0,256,65536,0.17,62,0.000304128,5834
0,256,65536,0.17,63,0.000308224,5869
0,256,65536,0.17,64,0.000308224,5817
0,256,65536,0.17,65,0.000305152,5848
0,256,65536,0.17,66,0.000304128,5770
0,256,65536,0.17,67,0.000308224,5840
0,256,65536,0.17,68,0.000305152,5788
0,256,65536,0.17,69,0.000303104,5760
0,256,65536,0.17,70,0.000305152,5786
0,256,65536,0.17,71,0.000305152,5791
0,256,65536,0.17,72,0.000306176,5801
0,256,65536,0.17,73,0.000310272,5789
0,256,65536,0.17,74,0.000305152,5766
0,256,65536,0.17,75,0.000304128,5715
0,256,65536,0.17,76,0.000305152,5772
0,256,65536,0.17,77,0.000304128,5710
0,256,65536,0.17,78,0.000303104,5762
0,256,65536,0.17,79,0.000310272,5714
0,256,65536,0.17,80,0.000305152,5747
0,256,65536,0.17,81,0.000303104,5787
0,256,65536,0.17,82,0.000305152,5811
0,256,65536,0.17,83,0.000304128,5729
0,256,65536,0.17,84,0.000306176,5760
0,256,65536,0.17,85,0.000303104,5748
0,256,65536,0.17,86,0.000308224,5781
0,256,65536,0.17,87,0.000306176,5757
0,256,65536,0.17,88,0.000305152,5701
0,256,65536,0.17,89,0.000314368,5816
0,256,65536,0.17,90,0.000304128,5745
0,256,65536,0.17,91,0.000304128,5753
0,256,65536,0.17,92,0.000306176,5721
0,256,65536,0.17,93,0.000305152,5703
0,256,65536,0.17,94,0.000303104,5765
0,256,65536,0.17,95,0.000308224,5753
0,256,65536,0.17,96,0.000303104,5762
0,256,65536,0.17,97,0.000303104,5750
0,256,65536,0.17,98,0.000305152,5719
0,256,65536,0.17,99,0.000304128,5756
0,512,262144,0.17,0,0.00461722,38807
0,512,262144,0.17,1,0.000589824,30611
0,512,262144,0.17,2,0.000585728,29193
0,512,262144,0.17,3,0.00060416,29240
0,512,262144,0.17,4,0.000582656,28998
0,512,262144,0.17,5,0.000590848,28725
0,512,262144,0.17,6,0.000584704,28505
0,512,262144,0.17,7,0.0005888,28351
0,512,262144,0.17,8,0.000592896,28291
0,512,262144,0.17,9,0.00057856,28031
0,512,262144,0.17,10,0.000587776,27862
0,512,262144,0.17,11,0.000594944,27657
0,512,262144,0.17,12,0.0005888,27590
0,512,262144,0.17,13,0.0005888,27153
0,512,262144,0.17,14,0.000590848,27098
0,512,262144,0.17,15,0.0005888,26986
0,512,262144,0.17,16,0.000584704,26708
0,512,262144,0.17,17,0.0005888,26590
0,512,262144,0.17,18,0.000590848,26509
0,512,262144,0.17,19,0.000589824,26404
0,512,262144,0.17,20,0.000592896,26270
0,512,262144,0.17,21,0.000587776,26120
0,512,262144,0.17,22,0.000589824,25908
0,512,262144,0.17,23,0.000585728,25888
0,512,262144,0.17,24,0.00057856,25784
0,512,262144,0.17,25,0.000584704,25635
0,512,262144,0.17,26,0.000587776,25663
0,512,262144,0.17,27,0.000581632,25541
0,512,262144,0.17,28,0.000587776,25365
0,512,262144,0.17,29,0.000590848,25335
0,512,262144,0.17,30,0.000587776,25173
0,512,262144,0.17,31,0.000586752,25018
0,512,262144,0.17,32,0.000586752,25177
0,512,262144,0.17,33,0.0005888,24951
0,512,262144,0.17,34,0.00058368,24857
0,512,262144,0.17,35,0.000579584,24721
0,512,262144,0.17,36,0.00058368,24760
0,512,262144,0.17,37,0.000581632,24655
0,512,262144,0.17,38,0.000581632,24618
0,512,262144,0.17,39,0.000574464,24431
0,512,262144,0.17,40,0.00059392,24520
0,512,262144,0.17,41,0.000584704,24449
0,512,262144,0.17,42,0.000582656,24494
0,512,262144,0.17,43,0.000581632,24414
0,512,262144,0.17,44,0.000581632,24318
0,512,262144,0.17,45,0.000587776,24286
0,512,262144,0.17,46,0.000581632,24219
0,512,262144,0.17,47,0.000585728,24105
0,512,262144,0.17,48,0.00057856,24033
0,512,262144,0.17,49,0.000594944,24100
0,512,262144,0.17,50,0.00059392,24176
0,512,262144,0.17,51,0.000586752,24080
0,512,262144,0.17,52,0.000581632,24027
0,512,262144,0.17,53,0.00059392,24049
0,512,262144,0.17,54,0.000587776,24008
0,512,262144,0.17,55,0.000591872,24000
0,512,262144,0.17,56,0.000582656,23948
0,512,262144,0.17,57,0.000577536,24018
0,512,262144,0.17,58,0.00058368,23887
0,512,262144,0.17,59,0.000587776,23985
0,512,262144,0.17,60,0.000584704,24009
0,512,262144,0.17,61,0.00058368,23831
0,512,262144,0.17,62,0.000582656,23952
0,512,262144,0.17,63,0.000594944,23896
0,512,262144,0.17,64,0.0005888,23806
0,512,262144,0.17,65,0.00057856,23784
0,512,262144,0.17,66,0.000581632,23753
0,512,262144,0.17,67,0.000580608,23783
0,512,262144,0.17,68,0.000591872,23821
0,512,262144,0.17,69,0.000581632,23835
0,512,262144,0.17,70,0.000589824,23830
0,512,262144,0.17,71,0.000576512,23646
0,512,262144,0.17,72,0.000598016,23762
0,512,262144,0.17,73,0.000587776,23737
0,512,262144,0.17,74,0.000580608,23667
0,512,262144,0.17,75,0.000587776,23750
0,512,262144,0.17,76,0.000577536,23762
0,512,262144,0.17,77,0.000585728,23630
0,512,262144,0.17,78,0.000589824,23712
0,512,262144,0.17,79,0.000582656,23560
0,512,262144,0.17,80,0.000590848,23510
0,512,262144,0.17,81,0.000589824,23684
0,512,262144,0.17,82,0.000590848,23626
0,512,262144,0.17,83,0.000590848,23654
0,512,262144,0.17,84,0.000581632,23533
0,512,262144,0.17,85,0.000582656,23685
0,512,262144,0.17,86,0.000584704,23652
0,512,262144,0.17,87,0.000592896,23568
0,512,262144,0.17,88,0.000587776,23448
0,512,262144,0.17,89,0.000582656,23617
0,512,262144,0.17,90,0.000590848,23584
0,512,262144,0.17,91,0.000584704,23664
0,512,262144,0.17,92,0.000598016,23544
0,512,262144,0.17,93,0.000592896,23475
0,512,262144,0.17,94,0.000596992,23577
0,512,262144,0.17,95,0.000590848,23665
0,512,262144,0.17,96,0.000587776,23446
0,512,262144,0.17,97,0.000587776,23487
0,512,262144,0.17,98,0.000585728,23503
0,512,262144,0.17,99,0.000584704,23552
0,768,589824,0.17,0,0.00748851,87743
0,768,589824,0.17,1,0.00102298,69240
0,768,589824,0.17,2,0.00101786,66449
0,768,589824,0.17,3,0.00101376,66444
0,768,589824,0.17,4,0.00101069,66164
0,768,589824,0.17,5,0.00101478,65325
0,768,589824,0.17,6,0.00101171,64906
