repetition,grid_width,pop_size,p_occupation,mean_pop_count,resolution_iterations,mean_unresolved_count
0,512,262144,0.02,4602.67,1,0
0,512,262144,0.02,4602.67,2,73
0,512,262144,0.02,4602.67,3,0
0,512,262144,0.02,4602.67,4,0
0,512,262144,0.02,4602.67,5,0
0,512,262144,0.02,4602.67,6,0
0,512,262144,0.02,4602.67,7,0
0,512,262144,0.02,4602.67,8,0
0,512,262144,0.02,4602.67,9,0
0,512,262144,0.04,9104,1,0
0,512,262144,0.04,9104,2,320
0,512,262144,0.04,9104,3,2
0,512,262144,0.04,9104,4,0
0,512,262144,0.04,9104,5,0
0,512,262144,0.04,9104,6,0
0,512,262144,0.04,9104,7,0
0,512,262144,0.04,9104,8,0
0,512,262144,0.04,9104,9,0
0,512,262144,0.08,18493,1,0
0,512,262144,0.08,18493,2,1322
0,512,262144,0.08,18493,3,15
0,512,262144,0.08,18493,4,0
0,512,262144,0.08,18493,5,0
0,512,262144,0.08,18493,6,0
0,512,262144,0.08,18493,7,0
0,512,262144,0.08,18493,8,0
0,512,262144,0.08,18493,9,0
0,512,262144,0.16,36525.7,1,0
0,512,262144,0.16,36525.7,2,5418
0,512,262144,0.16,36525.7,3,205
0,512,262144,0.16,36525.7,4,0
0,512,262144,0.16,36525.7,5,0
0,512,262144,0.16,36525.7,6,0
0,512,262144,0.16,36525.7,7,0
0,512,262144,0.16,36525.7,8,0
0,512,262144,0.16,36525.7,9,0
0,512,262144,0.32,71178,1,0
0,512,262144,0.32,71178,2,20898
0,512,262144,0.32,71178,3,2521
0,512,262144,0.32,71178,4,55
0,512,262144,0.32,71178,5,0
0,512,262144,0.32,71178,6,0
0,512,262144,0.32,71178,7,0
0,512,262144,0.32,71178,8,0
0,512,262144,0.32,71178,9,0
0,512,262144,0.64,106431,1,0
0,512,262144,0.64,106431,2,45410
0,512,262144,0.64,106431,3,13845
0,512,262144,0.64,106431,4,2227
0,512,262144,0.64,106431,5,126
0,512,262144,0.64,106431,6,1
0,512,262144,0.64,106431,7,0
0,512,262144,0.64,106431,8,0
0,512,262144,0.64,106431,9,0
1,512,262144,0.02,4564.33,1,0
1,512,262144,0.02,4564.33,2,72
1,512,262144,0.02,4564.33,3,0
