repetition,grid_width,pop_size,p_occupation,s_step_mean,pop_count_mean
0,512,262144,0.02,0.00221,4119.96
0,512,262144,0.04,0.0021,7647.76
0,512,262144,0.08,0.00214,14105.5
0,512,262144,0.16,0.00249,24256.1
0,512,262144,0.32,0.00218,38324.4
0,512,262144,0.64,0.00214,55641
1,512,262144,0.02,0.00208,4026.29
1,512,262144,0.04,0.00208,7596.04
1,512,262144,0.08,0.00209,13994.1
1,512,262144,0.16,0.00208,24275
1,512,262144,0.32,0.00208,38096.2
1,512,262144,0.64,0.0021,54890.1
2,512,262144,0.02,0.00211,4041.41
2,512,262144,0.04,0.00223,7697.19
2,512,262144,0.08,0.00208,14052.6
2,512,262144,0.16,0.00208,24422.6
2,512,262144,0.32,0.00208,38675.6
2,512,262144,0.64,0.00208,56209.6
