repetition,grid_width,pop_size,p_occupation,step,s_step,pop_count
0,512,262144,0.02,0,0.012,5278
0,512,262144,0.02,1,0.006,4364
0,512,262144,0.02,2,0.004,4364
0,512,262144,0.02,3,0.004,4364
0,512,262144,0.02,4,0.002,4276
0,512,262144,0.02,5,0.002,4284
0,512,262144,0.02,6,0.002,4280
0,512,262144,0.02,7,0.002,4267
0,512,262144,0.02,8,0.002,4277
0,512,262144,0.02,9,0.002,4264
0,512,262144,0.02,10,0.002,4262
0,512,262144,0.02,11,0.002,4259
0,512,262144,0.02,12,0.002,4248
0,512,262144,0.02,13,0.002,4249
0,512,262144,0.02,14,0.002,4238
0,512,262144,0.02,15,0.002,4254
0,512,262144,0.02,16,0.002,4258
0,512,262144,0.02,17,0.003,4228
0,512,262144,0.02,18,0.002,4227
0,512,262144,0.02,19,0.002,4213
0,512,262144,0.02,20,0.002,4217
0,512,262144,0.02,21,0.002,4213
0,512,262144,0.02,22,0.002,4199
0,512,262144,0.02,23,0.002,4208
0,512,262144,0.02,24,0.002,4174
0,512,262144,0.02,25,0.002,4170
0,512,262144,0.02,26,0.002,4185
0,512,262144,0.02,27,0.002,4155
0,512,262144,0.02,28,0.002,4179
0,512,262144,0.02,29,0.002,4162
0,512,262144,0.02,30,0.002,4153
0,512,262144,0.02,31,0.002,4154
0,512,262144,0.02,32,0.002,4145
0,512,262144,0.02,33,0.002,4137
0,512,262144,0.02,34,0.002,4131
0,512,262144,0.02,35,0.002,4143
0,512,262144,0.02,36,0.002,4117
0,512,262144,0.02,37,0.003,4125
0,512,262144,0.02,38,0.002,4118
0,512,262144,0.02,39,0.002,4117
0,512,262144,0.02,40,0.002,4113
0,512,262144,0.02,41,0.002,4108
0,512,262144,0.02,42,0.002,4067
0,512,262144,0.02,43,0.002,4087
0,512,262144,0.02,44,0.002,4116
0,512,262144,0.02,45,0.002,4094
0,512,262144,0.02,46,0.002,4063
0,512,262144,0.02,47,0.002,4092
0,512,262144,0.02,48,0.002,4092
0,512,262144,0.02,49,0.002,4099
0,512,262144,0.02,50,0.002,4076
0,512,262144,0.02,51,0.002,4071
0,512,262144,0.02,52,0.002,4054
0,512,262144,0.02,53,0.002,4075
0,512,262144,0.02,54,0.002,4054
0,512,262144,0.02,55,0.002,4077
0,512,262144,0.02,56,0.002,4047
0,512,262144,0.02,57,0.002,4042
0,512,262144,0.02,58,0.002,4040
0,512,262144,0.02,59,0.002,4045
0,512,262144,0.02,60,0.002,4056
0,512,262144,0.02,61,0.002,4054
0,512,262144,0.02,62,0.002,4027
0,512,262144,0.02,63,0.002,4048
0,512,262144,0.02,64,0.002,4056
0,512,262144,0.02,65,0.002,4046
0,512,262144,0.02,66,0.002,4014
0,512,262144,0.02,67,0.002,4028
0,512,262144,0.02,68,0.002,4008
0,512,262144,0.02,69,0.002,4033
0,512,262144,0.02,70,0.002,4049
0,512,262144,0.02,71,0.002,4009
0,512,262144,0.02,72,0.002,4035
0,512,262144,0.02,73,0.002,4039
0,512,262144,0.02,74,0.002,3999
0,512,262144,0.02,75,0.002,4033
0,512,262144,0.02,76,0.002,4023
0,512,262144,0.02,77,0.002,4000
0,512,262144,0.02,78,0.002,4000
0,512,262144,0.02,79,0.002,4012
0,512,262144,0.02,80,0.002,4027
0,512,262144,0.02,81,0.002,4039
0,512,262144,0.02,82,0.002,3998
0,512,262144,0.02,83,0.002,4016
0,512,262144,0.02,84,0.002,4022
0,512,262144,0.02,85,0.002,4008
0,512,262144,0.02,86,0.002,3989
0,512,262144,0.02,87,0.002,4021
0,512,262144,0.02,88,0.002,3963
0,512,262144,0.02,89,0.002,4013
0,512,262144,0.02,90,0.002,4000
0,512,262144,0.02,91,0.002,4021
0,512,262144,0.02,92,0.002,4010
0,512,262144,0.02,93,0.002,4032
0,512,262144,0.02,94,0.002,4000
0,512,262144,0.02,95,0.002,4007
0,512,262144,0.02,96,0.003,4035
0,512,262144,0.02,97,0.002,4031
