repetition,grid_width,pop_size,p_occupation,s_step_mean,pop_count_mean
0,256,65536,0.17,0.000633104,6158.23
0,512,262144,0.17,0.00143893,25059.5
0,768,589824,0.17,0.0122085,57063.8
0,1024,1048576,0.17,0.027901,101627
0,1280,1638400,0.17,0.0480241,158982
0,1536,2359296,0.17,0.0734355,230853
0,1792,3211264,0.17,0.104465,314442
0,2048,4194304,0.17,0.140886,409422
0,2304,5308416,0.17,0.211361,518931
0,2560,6553600,0.17,0.293094,640435
0,2816,7929856,0.17,0.384077,774759
0,3072,9437184,0.17,0.482327,922122
0,3328,11075584,0.17,0.589825,1.08277e+06
0,3584,12845056,0.17,0.708022,1.25557e+06
0,3840,14745600,0.17,0.830241,1.44241e+06
0,4096,16777216,0.17,0.966762,1.64175e+06
1,256,65536,0.17,0.000564124,6280.56
1,512,262144,0.17,0.0013312,25039.8
1,768,589824,0.17,0.0122679,57283.8
1,1024,1048576,0.17,0.0279252,101601
1,1280,1638400,0.17,0.0479794,160117
1,1536,2359296,0.17,0.0735656,231060
1,1792,3211264,0.17,0.10463,314928
1,2048,4194304,0.17,0.140962,410832
1,2304,5308416,0.17,0.211713,520744
1,2560,6553600,0.17,0.292947,641304
1,2816,7929856,0.17,0.384327,776145
1,3072,9437184,0.17,0.48591,925166
1,3328,11075584,0.17,0.590105,1.08613e+06
1,3584,12845056,0.17,0.708068,1.2583e+06
1,3840,14745600,0.17,0.829685,1.44522e+06
1,4096,16777216,0.17,0.965752,1.64565e+06
2,256,65536,0.17,0.000582074,6421.5
2,512,262144,0.17,0.00133306,25227.2
2,768,589824,0.17,0.012215,57108.8
2,1024,1048576,0.17,0.0278921,102178
2,1280,1638400,0.17,0.0480253,159033
2,1536,2359296,0.17,0.0734193,229773
2,1792,3211264,0.17,0.104284,314653
2,2048,4194304,0.17,0.140982,410598
2,2304,5308416,0.17,0.211633,520002
2,2560,6553600,0.17,0.293119,643338
2,2816,7929856,0.17,0.384248,778887
2,3072,9437184,0.17,0.4816,927104
2,3328,11075584,0.17,0.590541,1.0841e+06
2,3584,12845056,0.17,0.707773,1.25669e+06
2,3840,14745600,0.17,0.831018,1.44409e+06
2,4096,16777216,0.17,0.968389,1.64432e+06
