repetition,grid_width,pop_size,p_occupation,step,s_step,pop_count
0,256,65536,0.17,0,0.00823504,11264
0,256,65536,0.17,1,0.00153974,8806
0,256,65536,0.17,2,0.00146502,8791
0,256,65536,0.17,3,0.000551424,7174
0,256,65536,0.17,4,0.000543584,7090
0,256,65536,0.17,5,0.00053776,7081
0,256,65536,0.17,6,0.000562432,7031
0,256,65536,0.17,7,0.000532544,6961
0,256,65536,0.17,8,0.000539264,6910
0,256,65536,0.17,9,0.000539904,6855
0,256,65536,0.17,10,0.000535712,6818
0,256,65536,0.17,11,0.000540544,6706
0,256,65536,0.17,12,0.000540096,6690
0,256,65536,0.17,13,0.000545152,6709
0,256,65536,0.17,14,0.000536576,6647
0,256,65536,0.17,15,0.000541568,6601
0,256,65536,0.17,16,0.000537472,6495
0,256,65536,0.17,17,0.000538112,6508
0,256,65536,0.17,18,0.000531616,6449
0,256,65536,0.17,19,0.00053232,6421
0,256,65536,0.17,20,0.000538944,6357
0,256,65536,0.17,21,0.00054048,6402
0,256,65536,0.17,22,0.000550112,6305
0,256,65536,0.17,23,0.000550496,6287
0,256,65536,0.17,24,0.000551712,6243
0,256,65536,0.17,25,0.000549056,6257
0,256,65536,0.17,26,0.000547552,6203
0,256,65536,0.17,27,0.000546208,6241
0,256,65536,0.17,28,0.000532224,6175
0,256,65536,0.17,29,0.00053664,6137
0,256,65536,0.17,30,0.00053392,6169
0,256,65536,0.17,31,0.000534816,6155
0,256,65536,0.17,32,0.000536,6047
0,256,65536,0.17,33,0.000558752,6107
0,256,65536,0.17,34,0.000535648,6042
0,256,65536,0.17,35,0.000530336,6019
0,256,65536,0.17,36,0.000533024,6078
0,256,65536,0.17,37,0.000531872,6015
0,256,65536,0.17,38,0.000533696,5977
0,256,65536,0.17,39,0.000536512,5938
0,256,65536,0.17,40,0.000535296,5931
0,256,65536,0.17,41,0.000532992,5949
0,256,65536,0.17,42,0.00055072,5923
0,256,65536,0.17,43,0.000534528,5920
0,256,65536,0.17,44,0.000534016,5947
0,256,65536,0.17,45,0.000537472,5896
0,256,65536,0.17,46,0.000532928,5956
0,256,65536,0.17,47,0.000543328,5888
0,256,65536,0.17,48,0.000532192,5917
0,256,65536,0.17,49,0.000536352,5899
0,256,65536,0.17,50,0.000537472,5886
0,256,65536,0.17,51,0.000532032,5933
0,256,65536,0.17,52,0.000533088,5887
0,256,65536,0.17,53,0.000534144,5903
0,256,65536,0.17,54,0.000529536,5889
0,256,65536,0.17,55,0.000535488,5870
0,256,65536,0.17,56,0.000537248,5862
0,256,65536,0.17,57,0.000531968,5799
0,256,65536,0.17,58,0.000535456,5897
0,256,65536,0.17,59,0.000532768,5862
0,256,65536,0.17,60,0.00053808,5822
0,256,65536,0.17,61,0.0005368,5853
0,256,65536,0.17,62,0.000533728,5877
0,256,65536,0.17,63,0.000533408,5839
0,256,65536,0.17,64,0.00053408,5832
0,256,65536,0.17,65,0.00054016,5852
0,256,65536,0.17,66,0.000530816,5794
0,256,65536,0.17,67,0.00053648,5852
0,256,65536,0.17,68,0.00053488,5802
0,256,65536,0.17,69,0.000533856,5804
0,256,65536,0.17,70,0.000533024,5779
0,256,65536,0.17,71,0.000531648,5799
0,256,65536,0.17,72,0.00053072,5823
0,256,65536,0.17,73,0.000535968,5792
0,256,65536,0.17,74,0.00052976,5743
0,256,65536,0.17,75,0.000532672,5755
0,256,65536,0.17,76,0.000535104,5784
0,256,65536,0.17,77,0.000531552,5768
0,256,65536,0.17,78,0.000546656,5726
0,256,65536,0.17,79,0.000542496,5760
0,256,65536,0.17,80,0.000532384,5768
0,256,65536,0.17,81,0.000529984,5768
0,256,65536,0.17,82,0.000531232,5786
0,256,65536,0.17,83,0.000538176,5703
0,256,65536,0.17,84,0.000533376,5791
0,256,65536,0.17,85,0.000538784,5696
0,256,65536,0.17,86,0.000534144,5740
0,256,65536,0.17,87,0.000534144,5726
0,256,65536,0.17,88,0.000534528,5749
0,256,65536,0.17,89,0.00053088,5748
0,256,65536,0.17,90,0.00053312,5700
0,256,65536,0.17,91,0.000533664,5712
0,256,65536,0.17,92,0.000532,5678
0,256,65536,0.17,93,0.000535584,5694
0,256,65536,0.17,94,0.000529056,5791
0,256,65536,0.17,95,0.000533344,5704
0,256,65536,0.17,96,0.000536992,5758
0,256,65536,0.17,97,0.000530656,5716
0,256,65536,0.17,98,0.00053312,5665
0,256,65536,0.17,99,0.000530432,5699
0,512,262144,0.17,0,0.0390326,38807
0,512,262144,0.17,1,0.00109578,30611
0,512,262144,0.17,2,0.0010864,29194
0,512,262144,0.17,3,0.00107446,29236
0,512,262144,0.17,4,0.00108013,28998
0,512,262144,0.17,5,0.0010704,28732
0,512,262144,0.17,6,0.00107014,28508
0,512,262144,0.17,7,0.00107712,28347
0,512,262144,0.17,8,0.00105766,28280
0,512,262144,0.17,9,0.0010753,28041
0,512,262144,0.17,10,0.00106387,27879
0,512,262144,0.17,11,0.00106486,27650
0,512,262144,0.17,12,0.00105635,27567
0,512,262144,0.17,13,0.00105443,27155
0,512,262144,0.17,14,0.00106675,27082
0,512,262144,0.17,15,0.0010688,26991
0,512,262144,0.17,16,0.00105773,26717
0,512,262144,0.17,17,0.00105693,26609
0,512,262144,0.17,18,0.00105837,26487
0,512,262144,0.17,19,0.00105539,26409
0,512,262144,0.17,20,0.00104934,26308
0,512,262144,0.17,21,0.00105869,26135
0,512,262144,0.17,22,0.00105581,25926
0,512,262144,0.17,23,0.00105363,25895
0,512,262144,0.17,24,0.00105248,25789
0,512,262144,0.17,25,0.0010625,25690
0,512,262144,0.17,26,0.00105827,25575
0,512,262144,0.17,27,0.00107379,25482
0,512,262144,0.17,28,0.00107574,25343
0,512,262144,0.17,29,0.00106573,25313
0,512,262144,0.17,30,0.00107443,25130
0,512,262144,0.17,31,0.00107002,24959
0,512,262144,0.17,32,0.00106992,25153
0,512,262144,0.17,33,0.00105734,24959
0,512,262144,0.17,34,0.00106038,24894
0,512,262144,0.17,35,0.00105312,24728
0,512,262144,0.17,36,0.00107075,24675
0,512,262144,0.17,37,0.00105613,24676
0,512,262144,0.17,38,0.00105245,24616
0,512,262144,0.17,39,0.00106205,24507
0,512,262144,0.17,40,0.00106675,24513
0,512,262144,0.17,41,0.00106013,24381
0,512,262144,0.17,42,0.00104806,24485
0,512,262144,0.17,43,0.00105488,24342
0,512,262144,0.17,44,0.00105024,24380
0,512,262144,0.17,45,0.00105894,24306
0,512,262144,0.17,46,0.0010792,24274
0,512,262144,0.17,47,0.00105392,24060
0,512,262144,0.17,48,0.00105472,24123
0,512,262144,0.17,49,0.00105904,24185
0,512,262144,0.17,50,0.00105856,24322
0,512,262144,0.17,51,0.00106275,24051
0,512,262144,0.17,52,0.00105827,24023
0,512,262144,0.17,53,0.00104368,24031
0,512,262144,0.17,54,0.00106157,24021
0,512,262144,0.17,55,0.00105251,24058
0,512,262144,0.17,56,0.00104966,24072
0,512,262144,0.17,57,0.00104787,23999
0,512,262144,0.17,58,0.00105382,23992
0,512,262144,0.17,59,0.00105683,23970
0,512,262144,0.17,60,0.00105683,23907
0,512,262144,0.17,61,0.00105043,23959
0,512,262144,0.17,62,0.0010536,23903
0,512,262144,0.17,63,0.00104755,23918
0,512,262144,0.17,64,0.00104701,23815
0,512,262144,0.17,65,0.0010617,23922
0,512,262144,0.17,66,0.00105834,23805
0,512,262144,0.17,67,0.00105248,23825
0,512,262144,0.17,68,0.00105206,23851
0,512,262144,0.17,69,0.00105731,23783
0,512,262144,0.17,70,0.00106189,23750
0,512,262144,0.17,71,0.0010504,23640
