pop_size,grid_width,mean_s_step_mean
4096,64,0.000
16384,128,0.000
36864,192,0.000
65536,256,0.001
102400,320,0.001
147456,384,0.001
200704,448,0.001
262144,512,0.001
331776,576,0.004
409600,640,0.006
495616,704,0.009
589824,768,0.012
692224,832,0.016
802816,896,0.019
921600,960,0.023
1048576,1024,0.028
1183744,1088,0.032
1327104,1152,0.037
1478656,1216,0.042
1638400,1280,0.048
1806336,1344,0.054
1982464,1408,0.060
2166784,1472,0.067
2359296,1536,0.073
2560000,1600,0.081
2768896,1664,0.088
2985984,1728,0.096
3211264,1792,0.104
3444736,1856,0.114
3686400,1920,0.122
3936256,1984,0.131
4194304,2048,0.141
4460544,2112,0.158
4734976,2176,0.175
5017600,2240,0.193
5308416,2304,0.212
5607424,2368,0.231
5914624,2432,0.251
6230016,2496,0.271
6553600,2560,0.293
6885376,2624,0.314
7225344,2688,0.337
7573504,2752,0.360
7929856,2816,0.384
8294400,2880,0.409
8667136,2944,0.433
9048064,3008,0.456
9437184,3072,0.482
9834496,3136,0.508
10240000,3200,0.534
10653696,3264,0.562
11075584,3328,0.590
11505664,3392,0.617
11943936,3456,0.650
12390400,3520,0.678
12845056,3584,0.706
13307904,3648,0.737
13778944,3712,0.769
14258176,3776,0.798
14745600,3840,0.830
15241216,3904,0.864
15745024,3968,0.898
16257024,4032,0.931
16777216,4096,0.966
