repetition,grid_width,pop_size,p_occupation,mean_pop_count,resolution_iterations,mean_unresolved_count
0,512,262144,0.02,4668.67,1,0
0,512,262144,0.02,4668.67,2,87
0,512,262144,0.02,4668.67,3,0
0,512,262144,0.02,4668.67,4,0
0,512,262144,0.02,4668.67,5,0
0,512,262144,0.02,4668.67,6,0
0,512,262144,0.02,4668.67,7,0
0,512,262144,0.02,4668.67,8,0
0,512,262144,0.02,4668.67,9,0
0,512,262144,0.04,9134.33,1,0
0,512,262144,0.04,9134.33,2,313
0,512,262144,0.04,9134.33,3,0
0,512,262144,0.04,9134.33,4,0
0,512,262144,0.04,9134.33,5,0
0,512,262144,0.04,9134.33,6,0
0,512,262144,0.04,9134.33,7,0
0,512,262144,0.04,9134.33,8,0
0,512,262144,0.04,9134.33,9,0
0,512,262144,0.08,18527.7,1,0
0,512,262144,0.08,18527.7,2,1299
0,512,262144,0.08,18527.7,3,14
0,512,262144,0.08,18527.7,4,0
0,512,262144,0.08,18527.7,5,0
0,512,262144,0.08,18527.7,6,0
0,512,262144,0.08,18527.7,7,0
0,512,262144,0.08,18527.7,8,0
0,512,262144,0.08,18527.7,9,0
0,512,262144,0.16,36717.7,1,0
0,512,262144,0.16,36717.7,2,5398
0,512,262144,0.16,36717.7,3,199
0,512,262144,0.16,36717.7,4,2
0,512,262144,0.16,36717.7,5,0
0,512,262144,0.16,36717.7,6,0
0,512,262144,0.16,36717.7,7,0
0,512,262144,0.16,36717.7,8,0
0,512,262144,0.16,36717.7,9,0
0,512,262144,0.32,71520.3,1,0
0,512,262144,0.32,71520.3,2,21071
0,512,262144,0.32,71520.3,3,2555
0,512,262144,0.32,71520.3,4,57
0,512,262144,0.32,71520.3,5,0
0,512,262144,0.32,71520.3,6,0
0,512,262144,0.32,71520.3,7,0
0,512,262144,0.32,71520.3,8,0
0,512,262144,0.32,71520.3,9,0
0,512,262144,0.64,106930,1,0
0,512,262144,0.64,106930,2,45754
0,512,262144,0.64,106930,3,13920
0,512,262144,0.64,106930,4,2209
0,512,262144,0.64,106930,5,121
0,512,262144,0.64,106930,6,0
0,512,262144,0.64,106930,7,0
0,512,262144,0.64,106930,8,0
0,512,262144,0.64,106930,9,0
1,512,262144,0.02,4604.67,1,0
1,512,262144,0.02,4604.67,2,82
1,512,262144,0.02,4604.67,3,0
1,512,262144,0.02,4604.67,4,0
1,512,262144,0.02,4604.67,5,0
1,512,262144,0.02,4604.67,6,0
1,512,262144,0.02,4604.67,7,0
1,512,262144,0.02,4604.67,8,0
1,512,262144,0.02,4604.67,9,0
1,512,262144,0.04,9109.33,1,0
1,512,262144,0.04,9109.33,2,307
1,512,262144,0.04,9109.33,3,1
1,512,262144,0.04,9109.33,4,0
1,512,262144,0.04,9109.33,5,0
1,512,262144,0.04,9109.33,6,0
1,512,262144,0.04,9109.33,7,0
1,512,262144,0.04,9109.33,8,0
1,512,262144,0.04,9109.33,9,0
1,512,262144,0.08,18354.3,1,0
1,512,262144,0.08,18354.3,2,1351
1,512,262144,0.08,18354.3,3,17
1,512,262144,0.08,18354.3,4,0
1,512,262144,0.08,18354.3,5,0
1,512,262144,0.08,18354.3,6,0
1,512,262144,0.08,18354.3,7,0
1,512,262144,0.08,18354.3,8,0
1,512,262144,0.08,18354.3,9,0
1,512,262144,0.16,36928,1,0
1,512,262144,0.16,36928,2,5523
1,512,262144,0.16,36928,3,214
1,512,262144,0.16,36928,4,1
1,512,262144,0.16,36928,5,0
1,512,262144,0.16,36928,6,0
1,512,262144,0.16,36928,7,0
1,512,262144,0.16,36928,8,0
1,512,262144,0.16,36928,9,0
1,512,262144,0.32,71191.7,1,0
1,512,262144,0.32,71191.7,2,21068
1,512,262144,0.32,71191.7,3,2534
1,512,262144,0.32,71191.7,4,52
1,512,262144,0.32,71191.7,5,0
1,512,262144,0.32,71191.7,6,0
1,512,262144,0.32,71191.7,7,0
1,512,262144,0.32,71191.7,8,0
1,512,262144,0.32,71191.7,9,0
1,512,262144,0.64,106455,1,0
1,512,262144,0.64,106455,2,45634
1,512,262144,0.64,106455,3,13968
1,512,262144,0.64,106455,4,2224
1,512,262144,0.64,106455,5,120
1,512,262144,0.64,106455,6,0
1,512,262144,0.64,106455,7,0
1,512,262144,0.64,106455,8,0
1,512,262144,0.64,106455,9,0
2,512,262144,0.02,4577.67,1,0
2,512,262144,0.02,4577.67,2,72
2,512,262144,0.02,4577.67,3,0
2,512,262144,0.02,4577.67,4,0
2,512,262144,0.02,4577.67,5,0
2,512,262144,0.02,4577.67,6,0
2,512,262144,0.02,4577.67,7,0
2,512,262144,0.02,4577.67,8,0
2,512,262144,0.02,4577.67,9,0
2,512,262144,0.04,9156.33,1,0
2,512,262144,0.04,9156.33,2,300
2,512,262144,0.04,9156.33,3,1
2,512,262144,0.04,9156.33,4,0
2,512,262144,0.04,9156.33,5,0
2,512,262144,0.04,9156.33,6,0
2,512,262144,0.04,9156.33,7,0
2,512,262144,0.04,9156.33,8,0
2,512,262144,0.04,9156.33,9,0
2,512,262144,0.08,18303,1,0
2,512,262144,0.08,18303,2,1272
2,512,262144,0.08,18303,3,17
2,512,262144,0.08,18303,4,0
2,512,262144,0.08,18303,5,0
2,512,262144,0.08,18303,6,0
2,512,262144,0.08,18303,7,0
2,512,262144,0.08,18303,8,0
2,512,262144,0.08,18303,9,0
2,512,262144,0.16,36824,1,0
2,512,262144,0.16,36824,2,5397
2,512,262144,0.16,36824,3,199
2,512,262144,0.16,36824,4,1
2,512,262144,0.16,36824,5,0
2,512,262144,0.16,36824,6,0
2,512,262144,0.16,36824,7,0
2,512,262144,0.16,36824,8,0
2,512,262144,0.16,36824,9,0
2,512,262144,0.32,71907.3,1,0
2,512,262144,0.32,71907.3,2,21141
2,512,262144,0.32,71907.3,3,2552
2,512,262144,0.32,71907.3,4,56
2,512,262144,0.32,71907.3,5,0
2,512,262144,0.32,71907.3,6,0
2,512,262144,0.32,71907.3,7,0
2,512,262144,0.32,71907.3,8,0
2,512,262144,0.32,71907.3,9,0
2,512,262144,0.64,107356,1,0
2,512,262144,0.64,107356,2,45808
2,512,262144,0.64,107356,3,13894
2,512,262144,0.64,107356,4,2175
2,512,262144,0.64,107356,5,103
2,512,262144,0.64,107356,6,0
2,512,262144,0.64,107356,7,0
2,512,262144,0.64,107356,8,0
2,512,262144,0.64,107356,9,0
