repetition,grid_width,pop_size,p_occupation,s_step_mean,pop_count_mean
0,512,262144,0.02,0.00111678,4037.28
0,512,262144,0.04,0.0011276,7623.42
0,512,262144,0.08,0.00114044,14058.2
0,512,262144,0.16,0.00116116,24012.4
0,512,262144,0.32,0.00119294,38039.6
0,512,262144,0.64,0.00122711,55166.9
1,512,262144,0.02,0.00111522,3988.78
1,512,262144,0.04,0.00112562,7559.31
1,512,262144,0.08,0.00113911,13876.3
1,512,262144,0.16,0.00115936,23938.2
1,512,262144,0.32,0.0011896,37492.2
1,512,262144,0.64,0.00122462,54194.7
2,512,262144,0.02,0.00111628,4007.02
2,512,262144,0.04,0.0011265,7689.47
2,512,262144,0.08,0.00113995,13878.3
2,512,262144,0.16,0.00116083,24091.9
2,512,262144,0.32,0.00119458,38363.6
2,512,262144,0.64,0.00126197,55600
