repetition,grid_width,pop_size,p_occupation,step,s_step,pop_count
0,512,262144,0.02,0,0.0386888,5210
0,512,262144,0.02,1,0.000753664,4203
0,512,262144,0.02,2,0.000739328,4187
0,512,262144,0.02,3,0.000754688,4172
0,512,262144,0.02,4,0.0007424,4182
0,512,262144,0.02,5,0.000741376,4181
0,512,262144,0.02,6,0.000743424,4176
0,512,262144,0.02,7,0.000738304,4179
0,512,262144,0.02,8,0.0007424,4185
0,512,262144,0.02,9,0.000733184,4176
0,512,262144,0.02,10,0.000748544,4179
0,512,262144,0.02,11,0.0007424,4166
0,512,262144,0.02,12,0.000733184,4151
0,512,262144,0.02,13,0.000745472,4159
0,512,262144,0.02,14,0.000741376,4157
0,512,262144,0.02,15,0.000735232,4157
0,512,262144,0.02,16,0.00075264,4153
0,512,262144,0.02,17,0.000748544,4139
0,512,262144,0.02,18,0.000735232,4148
0,512,262144,0.02,19,0.000739328,4120
0,512,262144,0.02,20,0.0007424,4122
0,512,262144,0.02,21,0.000739328,4113
0,512,262144,0.02,22,0.000740352,4111
0,512,262144,0.02,23,0.000738304,4111
0,512,262144,0.02,24,0.000731136,4092
0,512,262144,0.02,25,0.00073728,4124
0,512,262144,0.02,26,0.000734208,4109
0,512,262144,0.02,27,0.000738304,4106
0,512,262144,0.02,28,0.000739328,4092
0,512,262144,0.02,29,0.00073728,4105
0,512,262144,0.02,30,0.000746496,4095
0,512,262144,0.02,31,0.000743424,4062
0,512,262144,0.02,32,0.00073728,4066
0,512,262144,0.02,33,0.000738304,4079
0,512,262144,0.02,34,0.000733184,4079
0,512,262144,0.02,35,0.000730112,4060
0,512,262144,0.02,36,0.000738304,4062
0,512,262144,0.02,37,0.000735232,4033
0,512,262144,0.02,38,0.000733184,4058
0,512,262144,0.02,39,0.00073216,4065
0,512,262144,0.02,40,0.000736256,4034
0,512,262144,0.02,41,0.00072704,4033
0,512,262144,0.02,42,0.000729088,3999
0,512,262144,0.02,43,0.000733184,4020
0,512,262144,0.02,44,0.000733184,4039
0,512,262144,0.02,45,0.00072704,3987
0,512,262144,0.02,46,0.000731136,4046
0,512,262144,0.02,47,0.000733184,4001
0,512,262144,0.02,48,0.000730112,4040
0,512,262144,0.02,49,0.000741376,3992
0,512,262144,0.02,50,0.000736256,3956
0,512,262144,0.02,51,0.000739328,3967
0,512,262144,0.02,52,0.000733184,3976
0,512,262144,0.02,53,0.000735232,3979
0,512,262144,0.02,54,0.000734208,3978
0,512,262144,0.02,55,0.000736256,4006
0,512,262144,0.02,56,0.00073216,3983
0,512,262144,0.02,57,0.000733184,3988
0,512,262144,0.02,58,0.00072704,3968
0,512,262144,0.02,59,0.000728064,3968
0,512,262144,0.02,60,0.000730112,3982
0,512,262144,0.02,61,0.000741376,3952
0,512,262144,0.02,62,0.000730112,3964
0,512,262144,0.02,63,0.000738304,3982
0,512,262144,0.02,64,0.000729088,3948
0,512,262144,0.02,65,0.000740352,3931
0,512,262144,0.02,66,0.0007424,3961
0,512,262144,0.02,67,0.000734208,3958
0,512,262144,0.02,68,0.000733184,3963
0,512,262144,0.02,69,0.000740352,3944
0,512,262144,0.02,70,0.000740352,3940
0,512,262144,0.02,71,0.000741376,3938
0,512,262144,0.02,72,0.00073216,3954
0,512,262144,0.02,73,0.000739328,3931
0,512,262144,0.02,74,0.000738304,3953
0,512,262144,0.02,75,0.000739328,3931
0,512,262144,0.02,76,0.000735232,3961
0,512,262144,0.02,77,0.00073728,3943
0,512,262144,0.02,78,0.000741376,3966
0,512,262144,0.02,79,0.000740352,3953
0,512,262144,0.02,80,0.000738304,3939
0,512,262144,0.02,81,0.000735232,3938
0,512,262144,0.02,82,0.00073728,3937
0,512,262144,0.02,83,0.000734208,3934
0,512,262144,0.02,84,0.000748544,3951
0,512,262144,0.02,85,0.00072704,3944
0,512,262144,0.02,86,0.000733184,3959
0,512,262144,0.02,87,0.000735232,3931
0,512,262144,0.02,88,0.000736256,3935
0,512,262144,0.02,89,0.0007424,3929
0,512,262144,0.02,90,0.000745472,3946
0,512,262144,0.02,91,0.000735232,3927
0,512,262144,0.02,92,0.0007424,3946
0,512,262144,0.02,93,0.000736256,3899
0,512,262144,0.02,94,0.00073728,3920
0,512,262144,0.02,95,0.00073216,3908
0,512,262144,0.02,96,0.00073728,3934
0,512,262144,0.02,97,0.000738304,3921
0,512,262144,0.02,98,0.000728064,3903
0,512,262144,0.02,99,0.00073216,3888
0,512,262144,0.04,0,0.0386243,10097
0,512,262144,0.04,1,0.000763904,8184
0,512,262144,0.04,2,0.000754688,8112
0,512,262144,0.04,3,0.000753664,8110
0,512,262144,0.04,4,0.00076288,8112
0,512,262144,0.04,5,0.000758784,8095
0,512,262144,0.04,6,0.000754688,8135
0,512,262144,0.04,7,0.000754688,8070
0,512,262144,0.04,8,0.000756736,8083
0,512,262144,0.04,9,0.000755712,8057
0,512,262144,0.04,10,0.000755712,8023
0,512,262144,0.04,11,0.000755712,8042
0,512,262144,0.04,12,0.000759808,8021
0,512,262144,0.04,13,0.000756736,8017
0,512,262144,0.04,14,0.000753664,7998
0,512,262144,0.04,15,0.000761856,7951
0,512,262144,0.04,16,0.000750592,7920
0,512,262144,0.04,17,0.00075776,7917
0,512,262144,0.04,18,0.000754688,7885
0,512,262144,0.04,19,0.000746496,7862
0,512,262144,0.04,20,0.000756736,7885
0,512,262144,0.04,21,0.00075776,7878
0,512,262144,0.04,22,0.000751616,7841
0,512,262144,0.04,23,0.000750592,7842
0,512,262144,0.04,24,0.000751616,7803
0,512,262144,0.04,25,0.000746496,7761
0,512,262144,0.04,26,0.000749568,7749
0,512,262144,0.04,27,0.00075264,7763
0,512,262144,0.04,28,0.000745472,7676
0,512,262144,0.04,29,0.000758784,7734
0,512,262144,0.04,30,0.000754688,7720
0,512,262144,0.04,31,0.000756736,7713
0,512,262144,0.04,32,0.000754688,7632
0,512,262144,0.04,33,0.000753664,7659
0,512,262144,0.04,34,0.000749568,7649
0,512,262144,0.04,35,0.000746496,7640
0,512,262144,0.04,36,0.000740352,7632
0,512,262144,0.04,37,0.0007424,7598
0,512,262144,0.04,38,0.000746496,7567
0,512,262144,0.04,39,0.000749568,7624
0,512,262144,0.04,40,0.000741376,7595
0,512,262144,0.04,41,0.000743424,7545
0,512,262144,0.04,42,0.00074752,7592
0,512,262144,0.04,43,0.000738304,7528
0,512,262144,0.04,44,0.000741376,7610
0,512,262144,0.04,45,0.000744448,7561
0,512,262144,0.04,46,0.000735232,7548
0,512,262144,0.04,47,0.000743424,7526
0,512,262144,0.04,48,0.000749568,7511
0,512,262144,0.04,49,0.0007424,7470
0,512,262144,0.04,50,0.000744448,7481
0,512,262144,0.04,51,0.000739328,7476
0,512,262144,0.04,52,0.000740352,7476
0,512,262144,0.04,53,0.000746496,7437
0,512,262144,0.04,54,0.000748544,7458
0,512,262144,0.04,55,0.000744448,7480
0,512,262144,0.04,56,0.00075776,7454
0,512,262144,0.04,57,0.000743424,7423
0,512,262144,0.04,58,0.000743424,7458
0,512,262144,0.04,59,0.0007424,7430
0,512,262144,0.04,60,0.000745472,7447
0,512,262144,0.04,61,0.000753664,7434
0,512,262144,0.04,62,0.000739328,7473
0,512,262144,0.04,63,0.000739328,7460
0,512,262144,0.04,64,0.000741376,7408
0,512,262144,0.04,65,0.00073728,7438
0,512,262144,0.04,66,0.000744448,7378
0,512,262144,0.04,67,0.00073216,7414
0,512,262144,0.04,68,0.000744448,7424
0,512,262144,0.04,69,0.000756736,7416
0,512,262144,0.04,70,0.000764928,7450
0,512,262144,0.04,71,0.000748544,7461
0,512,262144,0.04,72,0.0007424,7351
0,512,262144,0.04,73,0.000754688,7395
0,512,262144,0.04,74,0.000748544,7390
0,512,262144,0.04,75,0.000741376,7361
0,512,262144,0.04,76,0.00074752,7333
0,512,262144,0.04,77,0.0007424,7381
0,512,262144,0.04,78,0.000739328,7395
0,512,262144,0.04,79,0.00074752,7379
0,512,262144,0.04,80,0.00075264,7337
0,512,262144,0.04,81,0.000748544,7315
0,512,262144,0.04,82,0.000758784,7367
0,512,262144,0.04,83,0.000758784,7355
0,512,262144,0.04,84,0.000763904,7364
0,512,262144,0.04,85,0.000751616,7417
0,512,262144,0.04,86,0.000744448,7395
0,512,262144,0.04,87,0.000741376,7345
0,512,262144,0.04,88,0.00074752,7338
0,512,262144,0.04,89,0.000745472,7394
0,512,262144,0.04,90,0.000745472,7375
0,512,262144,0.04,91,0.000749568,7388
0,512,262144,0.04,92,0.000745472,7403
0,512,262144,0.04,93,0.000746496,7309
0,512,262144,0.04,94,0.000744448,7325
0,512,262144,0.04,95,0.00074752,7293
0,512,262144,0.04,96,0.000739328,7370
0,512,262144,0.04,97,0.0007424,7312
0,512,262144,0.04,98,0.00074752,7327
0,512,262144,0.04,99,0.000740352,7309
0,512,262144,0.08,0,0.0386816,19946
0,512,262144,0.08,1,0.000782336,15934
0,512,262144,0.08,2,0.000775168,15737
0,512,262144,0.08,3,0.00077824,15711
0,512,262144,0.08,4,0.000766976,15692
0,512,262144,0.08,5,0.000769024,15701
0,512,262144,0.08,6,0.000768,15651
0,512,262144,0.08,7,0.000764928,15446
0,512,262144,0.08,8,0.000761856,15480
0,512,262144,0.08,9,0.000765952,15438
0,512,262144,0.08,10,0.000768,15339
0,512,262144,0.08,11,0.000765952,15297
0,512,262144,0.08,12,0.00077824,15196
0,512,262144,0.08,13,0.000775168,15174
0,512,262144,0.08,14,0.000766976,15128
0,512,262144,0.08,15,0.000766976,15060
0,512,262144,0.08,16,0.000765952,15017
0,512,262144,0.08,17,0.000772096,14968
0,512,262144,0.08,18,0.000771072,14924
0,512,262144,0.08,19,0.000772096,14802
0,512,262144,0.08,20,0.000765952,14769
0,512,262144,0.08,21,0.000766976,14607
0,512,262144,0.08,22,0.000766976,14577
0,512,262144,0.08,23,0.000763904,14556
0,512,262144,0.08,24,0.000765952,14554
0,512,262144,0.08,25,0.000758784,14496
0,512,262144,0.08,26,0.000766976,14419
0,512,262144,0.08,27,0.000763904,14347
0,512,262144,0.08,28,0.000766976,14270
0,512,262144,0.08,29,0.000759808,14326
0,512,262144,0.08,30,0.000763904,14280
0,512,262144,0.08,31,0.000765952,14192
0,512,262144,0.08,32,0.000761856,14153
0,512,262144,0.08,33,0.000764928,14086
0,512,262144,0.08,34,0.000764928,14070
0,512,262144,0.08,35,0.000758784,14083
0,512,262144,0.08,36,0.000751616,13975
0,512,262144,0.08,37,0.000766976,13898
0,512,262144,0.08,38,0.000764928,13831
0,512,262144,0.08,39,0.000750592,13906
0,512,262144,0.08,40,0.000756736,13847
0,512,262144,0.08,41,0.000756736,13906
0,512,262144,0.08,42,0.000756736,13894
0,512,262144,0.08,43,0.000758784,13810
0,512,262144,0.08,44,0.000753664,13812
0,512,262144,0.08,45,0.000756736,13752
0,512,262144,0.08,46,0.000758784,13749
0,512,262144,0.08,47,0.000756736,13757
0,512,262144,0.08,48,0.000753664,13708
0,512,262144,0.08,49,0.000754688,13673
0,512,262144,0.08,50,0.000754688,13667
0,512,262144,0.08,51,0.000758784,13676
0,512,262144,0.08,52,0.000756736,13674
0,512,262144,0.08,53,0.000751616,13581
0,512,262144,0.08,54,0.000749568,13657
0,512,262144,0.08,55,0.00075776,13628
0,512,262144,0.08,56,0.000751616,13549
0,512,262144,0.08,57,0.00075264,13585
0,512,262144,0.08,58,0.000760832,13548
0,512,262144,0.08,59,0.000754688,13599
0,512,262144,0.08,60,0.000755712,13604
0,512,262144,0.08,61,0.000756736,13559
0,512,262144,0.08,62,0.000753664,13526
0,512,262144,0.08,63,0.000765952,13484
0,512,262144,0.08,64,0.000763904,13486
0,512,262144,0.08,65,0.000754688,13471
0,512,262144,0.08,66,0.000759808,13448
0,512,262144,0.08,67,0.000759808,13405
0,512,262144,0.08,68,0.000760832,13409
0,512,262144,0.08,69,0.000758784,13476
0,512,262144,0.08,70,0.000756736,13425
0,512,262144,0.08,71,0.000760832,13458
0,512,262144,0.08,72,0.000750592,13408
0,512,262144,0.08,73,0.000755712,13331
0,512,262144,0.08,74,0.000753664,13472
0,512,262144,0.08,75,0.000753664,13365
0,512,262144,0.08,76,0.000763904,13373
0,512,262144,0.08,77,0.000760832,13422
0,512,262144,0.08,78,0.000754688,13336
0,512,262144,0.08,79,0.000765952,13375
0,512,262144,0.08,80,0.000760832,13390
0,512,262144,0.08,81,0.000760832,13351
0,512,262144,0.08,82,0.000761856,13297
0,512,262144,0.08,83,0.000760832,13368
0,512,262144,0.08,84,0.00076288,13234
0,512,262144,0.08,85,0.00076288,13256
0,512,262144,0.08,86,0.000755712,13284
0,512,262144,0.08,87,0.000755712,13318
0,512,262144,0.08,88,0.000761856,13292
0,512,262144,0.08,89,0.000761856,13295
0,512,262144,0.08,90,0.000760832,13273
0,512,262144,0.08,91,0.000756736,13366
0,512,262144,0.08,92,0.000768,13213
