repetition,grid_width,pop_size,p_occupation,s_step_mean,pop_count_mean
0,256,65536,0.17,0.000480082,6163.38
0,512,262144,0.17,0.00121283,25053
0,768,589824,0.17,0.0120424,57059.5
0,1024,1048576,0.17,0.0277435,101647
0,1280,1638400,0.17,0.0478934,158974
0,1536,2359296,0.17,0.0732892,230821
0,1792,3211264,0.17,0.10404,314439
0,2048,4194304,0.17,0.140737,409397
0,2304,5308416,0.17,0.211489,518983
0,2560,6553600,0.17,0.292731,640389
0,2816,7929856,0.17,0.383922,774797
0,3072,9437184,0.17,0.482296,922047
0,3328,11075584,0.17,0.589784,1.0827e+06
0,3584,12845056,0.17,0.707843,1.25554e+06
0,3840,14745600,0.17,0.83,1.44233e+06
0,4096,16777216,0.17,0.96627,1.64176e+06
1,256,65536,0.17,0.000394557,6281.04
1,512,262144,0.17,0.00116051,25041
1,768,589824,0.17,0.0120326,57293.5
1,1024,1048576,0.17,0.0277233,101603
1,1280,1638400,0.17,0.0479385,160113
1,1536,2359296,0.17,0.0732171,231038
1,1792,3211264,0.17,0.104036,314920
1,2048,4194304,0.17,0.140666,410782
1,2304,5308416,0.17,0.211219,520682
1,2560,6553600,0.17,0.292897,641309
1,2816,7929856,0.17,0.383827,776285
1,3072,9437184,0.17,0.482151,925173
1,3328,11075584,0.17,0.589097,1.08618e+06
1,3584,12845056,0.17,0.707997,1.25822e+06
1,3840,14745600,0.17,0.83018,1.44527e+06
1,4096,16777216,0.17,0.966478,1.6458e+06
2,256,65536,0.17,0.000392622,6419.05
2,512,262144,0.17,0.00116272,25227.9
2,768,589824,0.17,0.0120344,57091.9
2,1024,1048576,0.17,0.0277301,102171
2,1280,1638400,0.17,0.0478638,159003
2,1536,2359296,0.17,0.0732172,229744
2,1792,3211264,0.17,0.104081,314665
2,2048,4194304,0.17,0.140853,410686
2,2304,5308416,0.17,0.21099,520008
2,2560,6553600,0.17,0.29272,643338
2,2816,7929856,0.17,0.383769,778979
2,3072,9437184,0.17,0.48221,927141
2,3328,11075584,0.17,0.590089,1.08403e+06
2,3584,12845056,0.17,0.707579,1.25675e+06
2,3840,14745600,0.17,0.830364,1.44396e+06
2,4096,16777216,0.17,0.966373,1.64435e+06
