repetition,grid_width,pop_size,p_occupation,s_step_mean,pop_count_mean
0,512,262144,0.02,0.000766454,4036.35
0,512,262144,0.04,0.000774144,7615.58
0,512,262144,0.08,0.000789893,14039.5
0,512,262144,0.16,0.000805427,24019.1
0,512,262144,0.32,0.000836403,38035
0,512,262144,0.64,0.000870861,55127.2
1,512,262144,0.02,0.000762307,3983.68
1,512,262144,0.04,0.000771738,7563.91
1,512,262144,0.08,0.000787395,13859.7
1,512,262144,0.16,0.000806328,23936
1,512,262144,0.32,0.000831386,37541
1,512,262144,0.64,0.000869243,54145.8
2,512,262144,0.02,0.000761252,4011.03
2,512,262144,0.04,0.000774758,7693.6
2,512,262144,0.08,0.000788306,13852
2,512,262144,0.16,0.00080642,24131.3
2,512,262144,0.32,0.000834816,38392.4
2,512,262144,0.64,0.000875796,55665.9
