repetition,grid_width,pop_size,p_occupation,mean_pop_count,resolution_iterations,mean_unresolved_count
0,512,262144,0.02,4602.67,1,0
0,512,262144,0.02,4602.67,2,75
0,512,262144,0.02,4602.67,3,0
0,512,262144,0.02,4602.67,4,0
0,512,262144,0.02,4602.67,5,0
0,512,262144,0.02,4602.67,6,0
0,512,262144,0.02,4602.67,7,0
0,512,262144,0.02,4602.67,8,0
0,512,262144,0.02,4602.67,9,0
0,512,262144,0.04,9104.67,1,0
0,512,262144,0.04,9104.67,2,295
0,512,262144,0.04,9104.67,3,2
0,512,262144,0.04,9104.67,4,0
0,512,262144,0.04,9104.67,5,0
0,512,262144,0.04,9104.67,6,0
0,512,262144,0.04,9104.67,7,0
0,512,262144,0.04,9104.67,8,0
0,512,262144,0.04,9104.67,9,0
0,512,262144,0.08,18491,1,0
0,512,262144,0.08,18491,2,1324
0,512,262144,0.08,18491,3,15
0,512,262144,0.08,18491,4,0
0,512,262144,0.08,18491,5,0
0,512,262144,0.08,18491,6,0
0,512,262144,0.08,18491,7,0
0,512,262144,0.08,18491,8,0
0,512,262144,0.08,18491,9,0
0,512,262144,0.16,36528,1,0
0,512,262144,0.16,36528,2,5341
0,512,262144,0.16,36528,3,206
0,512,262144,0.16,36528,4,1
0,512,262144,0.16,36528,5,0
0,512,262144,0.16,36528,6,0
0,512,262144,0.16,36528,7,0
0,512,262144,0.16,36528,8,0
0,512,262144,0.16,36528,9,0
0,512,262144,0.32,71189,1,0
0,512,262144,0.32,71189,2,20962
0,512,262144,0.32,71189,3,2548
0,512,262144,0.32,71189,4,58
0,512,262144,0.32,71189,5,0
0,512,262144,0.32,71189,6,0
0,512,262144,0.32,71189,7,0
0,512,262144,0.32,71189,8,0
0,512,262144,0.32,71189,9,0
0,512,262144,0.64,106458,1,0
0,512,262144,0.64,106458,2,45531
0,512,262144,0.64,106458,3,13836
0,512,262144,0.64,106458,4,2191
0,512,262144,0.64,106458,5,130
0,512,262144,0.64,106458,6,2
0,512,262144,0.64,106458,7,0
0,512,262144,0.64,106458,8,0
0,512,262144,0.64,106458,9,0
1,512,262144,0.02,4563.67,1,0
1,512,262144,0.02,4563.67,2,70
1,512,262144,0.02,4563.67,3,0
1,512,262144,0.02,4563.67,4,0
1,512,262144,0.02,4563.67,5,0
1,512,262144,0.02,4563.67,6,0
1,512,262144,0.02,4563.67,7,0
1,512,262144,0.02,4563.67,8,0
1,512,262144,0.02,4563.67,9,0
1,512,262144,0.04,9067.67,1,0
1,512,262144,0.04,9067.67,2,312
