repetition,grid_width,pop_size,p_occupation,step,s_step,pop_count
0,512,262144,0.02,0,0.00195789,5213
0,512,262144,0.02,1,0.000769024,4185
0,512,262144,0.02,2,0.000758784,4180
0,512,262144,0.02,3,0.000749568,4177
0,512,262144,0.02,4,0.000765952,4184
0,512,262144,0.02,5,0.00076288,4174
0,512,262144,0.02,6,0.000748544,4180
0,512,262144,0.02,7,0.000746496,4180
0,512,262144,0.02,8,0.000748544,4177
0,512,262144,0.02,9,0.000755712,4186
0,512,262144,0.02,10,0.000753664,4177
0,512,262144,0.02,11,0.000750592,4176
0,512,262144,0.02,12,0.00075264,4151
0,512,262144,0.02,13,0.000777216,4164
0,512,262144,0.02,14,0.000749568,4146
0,512,262144,0.02,15,0.000749568,4149
0,512,262144,0.02,16,0.000756736,4153
0,512,262144,0.02,17,0.000760832,4145
0,512,262144,0.02,18,0.000749568,4130
0,512,262144,0.02,19,0.00075776,4128
0,512,262144,0.02,20,0.000753664,4126
0,512,262144,0.02,21,0.000758784,4113
0,512,262144,0.02,22,0.000749568,4102
0,512,262144,0.02,23,0.000766976,4127
0,512,262144,0.02,24,0.000758784,4102
0,512,262144,0.02,25,0.000754688,4097
0,512,262144,0.02,26,0.000750592,4101
0,512,262144,0.02,27,0.000754688,4101
0,512,262144,0.02,28,0.000771072,4073
0,512,262144,0.02,29,0.00074752,4111
0,512,262144,0.02,30,0.00074752,4090
0,512,262144,0.02,31,0.000754688,4071
0,512,262144,0.02,32,0.000754688,4073
0,512,262144,0.02,33,0.000749568,4068
0,512,262144,0.02,34,0.000756736,4047
0,512,262144,0.02,35,0.000749568,4054
0,512,262144,0.02,36,0.000753664,4018
0,512,262144,0.02,37,0.000754688,4033
0,512,262144,0.02,38,0.000740352,4033
0,512,262144,0.02,39,0.000748544,4030
0,512,262144,0.02,40,0.000750592,4027
0,512,262144,0.02,41,0.00075776,4005
0,512,262144,0.02,42,0.000760832,3992
0,512,262144,0.02,43,0.000748544,4012
0,512,262144,0.02,44,0.000759808,4006
0,512,262144,0.02,45,0.000753664,3991
0,512,262144,0.02,46,0.000756736,3996
0,512,262144,0.02,47,0.000754688,3991
0,512,262144,0.02,48,0.000751616,3993
0,512,262144,0.02,49,0.000759808,3989
0,512,262144,0.02,50,0.000761856,3983
0,512,262144,0.02,51,0.000750592,3971
0,512,262144,0.02,52,0.000753664,4002
0,512,262144,0.02,53,0.000751616,3977
0,512,262144,0.02,54,0.00075264,3959
0,512,262144,0.02,55,0.000753664,3983
0,512,262144,0.02,56,0.000748544,3988
0,512,262144,0.02,57,0.000756736,3975
0,512,262144,0.02,58,0.000765952,3968
