repetition,grid_width,pop_size,p_occupation,step,s_step,pop_count
0,256,65536,0.17,0,0.0018473,11264
0,256,65536,0.17,1,0.00109363,8808
0,256,65536,0.17,2,0.00105472,8798
0,256,65536,0.17,3,0.00038912,7189
0,256,65536,0.17,4,0.00038912,7131
0,256,65536,0.17,5,0.000388096,7078
0,256,65536,0.17,6,0.000387072,6972
0,256,65536,0.17,7,0.000384,6916
0,256,65536,0.17,8,0.000385024,6982
0,256,65536,0.17,9,0.000398336,6816
0,256,65536,0.17,10,0.00038912,6772
0,256,65536,0.17,11,0.000384,6766
0,256,65536,0.17,12,0.000384,6713
0,256,65536,0.17,13,0.000391168,6638
0,256,65536,0.17,14,0.000385024,6599
0,256,65536,0.17,15,0.000388096,6564
0,256,65536,0.17,16,0.000391168,6570
0,256,65536,0.17,17,0.000386048,6483
0,256,65536,0.17,18,0.00038912,6460
0,256,65536,0.17,19,0.000387072,6366
0,256,65536,0.17,20,0.000382976,6386
0,256,65536,0.17,21,0.00038912,6363
0,256,65536,0.17,22,0.000384,6295
0,256,65536,0.17,23,0.000387072,6278
0,256,65536,0.17,24,0.000385024,6332
0,256,65536,0.17,25,0.000385024,6270
0,256,65536,0.17,26,0.000386048,6134
0,256,65536,0.17,27,0.000386048,6223
0,256,65536,0.17,28,0.000387072,6111
0,256,65536,0.17,29,0.000380928,6157
0,256,65536,0.17,30,0.000384,6091
0,256,65536,0.17,31,0.000386048,6053
0,256,65536,0.17,32,0.000385024,6051
0,256,65536,0.17,33,0.000386048,6019
0,256,65536,0.17,34,0.000385024,6063
0,256,65536,0.17,35,0.00038912,6030
0,256,65536,0.17,36,0.000385024,6067
0,256,65536,0.17,37,0.000386048,6009
0,256,65536,0.17,38,0.000380928,5932
0,256,65536,0.17,39,0.000386048,6046
0,256,65536,0.17,40,0.000385024,6046
0,256,65536,0.17,41,0.000385024,5968
0,256,65536,0.17,42,0.000382976,5970
0,256,65536,0.17,43,0.000385024,6048
0,256,65536,0.17,44,0.000382976,5918
0,256,65536,0.17,45,0.000381952,5910
0,256,65536,0.17,46,0.000384,5912
0,256,65536,0.17,47,0.000384,5908
0,256,65536,0.17,48,0.000384,5873
0,256,65536,0.17,49,0.000382976,5912
0,256,65536,0.17,50,0.000385024,5889
0,256,65536,0.17,51,0.00041472,5872
0,256,65536,0.17,52,0.000386048,5865
0,256,65536,0.17,53,0.000384,5872
0,256,65536,0.17,54,0.000377856,5829
0,256,65536,0.17,55,0.00037888,5876
